user_id,Action,Adventure,Racing,Simulation,Sports,Strategy
76561197970982479,0,0,0,0,0,0
js41637,0,0,0,0,0,0
evcentric,0,0,0,0,0,0
Riot-Punch,0,0,0,0,0,0
doctr,0,0,0,0,0,0
MinxIsBetterThanPotatoes,0,0,0,0,0,0
NitemarePK,0,0,0,0,0,0
themanwich,0,0,0,0,0,0
maplemage,0,0,0,0,0,0
Wackky,0,0,0,0,0,0
corrupted_soul,0,0,0,0,0,0
76561198079601835,0,0,0,0,0,0
jorellpogi,0,0,0,0,0,0
cadmusthreepointoh,0,0,0,0,0,0
76561198064823719,0,0,0,0,0,0
MeaTCompany,0,0,0,0,0,0
76561198089393905,0,0,0,0,0,0
76561198156664158,0,0,0,0,0,0
76561198077246154,0,0,0,0,0,0
76561198070234207,0,0,0,0,0,0
WeiEDKrSat,0,0,0,0,0,0
thequeenpanda,0,0,0,0,0,0
death-hunter,0,0,0,0,0,0
turneddreamsintoanempire,0,0,0,0,0,0
DJKamBer,0,0,0,0,0,0
76561198030389591,0,0,0,0,0,0
Rainbow-Dashie,0,0,0,0,0,0
btuty8trgt,0,0,0,0,0,0
76561198043472122,0,0,0,0,0,0
MarbleShrine,0,0,0,0,0,0
fdcfelipefdc,0,0,0,0,0,0
hellom8o,0,0,0,0,0,0
bbaekhyun,0,0,0,0,0,0
Moomfina,0,0,0,0,0,0
PPanther,0,0,0,0,0,0
ABSOLUTLY_NOTHING,0,0,0,0,0,0
devvonst,0,0,0,0,0,0
Fr0stedLine,0,0,0,0,0,0
starkillershadow553,0,0,0,0,0,0
76561198058373434,0,0,0,0,0,0
76561198048353577,0,0,0,0,0,0
76561198072190369,0,0,0,0,0,0
76561198066046412,0,0,0,0,0,0
tru_mu_,0,0,0,0,0,0
wirlom,0,0,0,0,0,0
76561198070565427,0,0,0,0,0,0
SavageEeEe,0,0,0,0,0,0
76561198076909484,0,0,0,0,0,0
76561198066908262,0,0,0,0,0,0
KanadeTheNeko,0,0,0,0,0,0
Leaf_Light_Moscow,0,0,0,0,0,0
erickoiv,0,0,0,0,0,0
GoAwayZach,0,0,0,0,0,0
76561198054540475,0,0,0,0,0,0
darkenkane,0,0,0,0,0,0
76561198100701221,0,0,0,0,0,0
76561198085547365,0,0,0,0,0,0
76561198061252210,0,0,0,0,0,0
OfficialShroomsy,0,0,0,0,0,0
76561198056147391,0,0,0,0,0,0
8Bit-Ninja,0,0,0,0,0,0
76561198071500702,0,0,0,0,0,0
76561198099905030,0,0,0,0,0,0
76561198047407223,0,0,0,0,0,0
latiano,0,0,0,0,0,0
kongtape,0,0,0,0,0,0
boydeer,0,0,0,0,0,0
76561198100297613,0,0,0,0,0,0
