user_id,price,items_count,recommend
76561197970982479,3.99,277.0,1.0
js41637,9.99,888.0,1.0
evcentric,4.99,137.0,1.0
Riot-Punch,0.99,328.0,1.0
doctr,9.99,541.0,1.0
MinxIsBetterThanPotatoes,0.99,371.0,1.0
NitemarePK,4.99,304.0,1.0
themanwich,14.99,258.0,1.0
maplemage,4.99,629.0,1.0
Wackky,4.99,0.0,1.0
corrupted_soul,29.99,115.0,1.0
76561198079601835,1.99,0.0,1.0
jorellpogi,4.99,71.0,1.0
cadmusthreepointoh,3.99,253.0,1.0
76561198064823719,1.99,55.0,1.0
MeaTCompany,4.99,14.0,1.0
76561198089393905,4.99,103.0,1.0
76561198156664158,4.99,59.0,1.0
76561198077246154,9.99,174.0,1.0
76561198070234207,2.99,33.0,1.0
WeiEDKrSat,19.99,28.0,1.0
thequeenpanda,9.99,524.0,1.0
death-hunter,19.99,121.0,1.0
turneddreamsintoanempire,9.99,96.0,1.0
DJKamBer,12.99,152.0,1.0
76561198030389591,0.99,12.0,1.0
Rainbow-Dashie,14.99,59.0,1.0
btuty8trgt,2.99,99.0,1.0
76561198043472122,9.99,88.0,1.0
MarbleShrine,9.99,185.0,1.0
fdcfelipefdc,0.99,43.0,1.0
hellom8o,1.99,0.0,1.0
bbaekhyun,4.99,77.0,1.0
Moomfina,2.99,50.0,1.0
PPanther,4.99,62.0,1.0
ABSOLUTLY_NOTHING,1.99,196.0,1.0
devvonst,4.99,68.0,1.0
Fr0stedLine,1.99,50.0,1.0
starkillershadow553,7.99,0.0,1.0
76561198058373434,6.99,49.0,1.0
76561198048353577,4.99,95.0,1.0
76561198072190369,4.99,32.0,1.0
76561198066046412,1.99,48.0,1.0
tru_mu_,12.99,62.0,1.0
wirlom,0.99,50.0,1.0
76561198070565427,19.99,75.0,1.0
SavageEeEe,4.99,32.0,1.0
76561198076909484,0.99,11.0,1.0
76561198066908262,2.99,10.0,0.0
KanadeTheNeko,1.99,73.0,1.0
Leaf_Light_Moscow,2.99,5.0,1.0
GoAwayZach,59.99,59.0,1.0
76561198054540475,71.7,106.0,1.0
darkenkane,19.99,0.0,1.0
76561198100701221,2.99,96.0,1.0
76561198085547365,5.99,65.0,1.0
76561198061252210,4.99,25.0,1.0
OfficialShroomsy,0.99,51.0,1.0
76561198056147391,9.99,7.0,1.0
8Bit-Ninja,4.99,81.0,1.0
76561198099905030,4.99,78.0,0.0
latiano,4.99,72.0,1.0
kongtape,11.99,73.0,1.0
boydeer,7.99,149.0,1.0
76561198100297613,9.99,74.0,1.0
VVillis,9.99,168.0,0.0
Bubblecup,2.99,0.0,1.0
76561198083226897,6.99,6.0,1.0
76561198075277292,19.99,14.0,1.0
76561198094630961,9.99,20.0,1.0
12549,1.99,64.0,1.0
76561198028895010,4.99,190.0,1.0
76561198092411867,5.99,20.0,1.0
76561198170198366,1.99,27.0,1.0
diego9031,3.99,200.0,1.0
iampiepiepie,19.99,41.0,1.0
76561198079863506,5.99,26.0,1.0
jarrodtrim,0.99,161.0,1.0
76561198078738103,6.99,33.0,1.0
76561198068964564,17.99,12.0,1.0
76561198067936203,5.99,46.0,0.0
76561198079770573,19.99,30.0,1.0
UpTheAss,0.99,10.0,1.0
76561198048504366,4.99,0.0,1.0
76561197977385164,9.99,12.0,1.0
76561198075491015,14.99,34.0,1.0
76561198087586464,9.99,31.0,1.0
76561198086878953,1.99,185.0,1.0
Derp-e,29.99,18.0,1.0
76561198070194565,4.99,214.0,1.0
Rivtex,6.99,51.0,1.0
firefreddy,9.99,25.0,1.0
UTNerd24,2.99,188.0,1.0
sandwiches1,1.99,172.0,1.0
76561198093083895,4.99,15.0,1.0
76561198138053270,9.99,64.0,1.0
76561198062422084,14.99,83.0,1.0
steamurl,2.99,0.0,1.0
lucaswerg,19.99,0.0,1.0
Life-Of-Blu,0.99,64.0,1.0
