year,developer,price,items_count
2018,Secret Level SRL,Free To Play,"KOEI TECMO GAMES CO., LTD."
2017,Poolians.com,Free to Play,NMS Software
2016,"Traveller's Tales,TT Games,Feral Interactive (Mac)",Free,Doomster Entertainment
2006,Unknown Worlds Entertainment,Free,Underdog Games
2008,Sandstorm Productions,Free,Sleepy Duck
2009,Darklight Games,Free,Techland
2008,Digital Eel,Free to Play,Cateia Games
2009,Defence Alliance Team,Free,Flyleap Studios Pty. Ltd.
2010,Octoshark Studios,Free,Obsidian Entertainment
2010,Valve,Free,AirWave Games
2013,Trion Worlds,Free to Play,"Ubisoft Sofia,Ubisoft Kiev"
2011,Red Duck Inc.,Free to Play,Still Running
2009,Cryptic Studios,Free to Play,JOL Studios
2011,Grey Havens,Free to Play,Noetic Games
2011,Peter Brinson and Kurosh ValaNejad,Free,Carenado
2011,Three Rings,Free to Play,Laugical Games
2011,Days of Wonder,Free to Play,Audials AG
2011,Daybreak Game Company,Free to Play,Capcom
2011,Reloaded Productions,Free to Play,Snkl Studio
2010,Cryptic Studios,Free to Play,"2K Australia,Gearbox Software,Aspyr (Mac, Linux)"
2012,Wild Shadow Studios,Free to Play,Squinky and the Squinkettes
2012,TAO,Free Demo,id Software
2012,BitSits Games,Free Demo,Under The Bridge
2012,"Standing Stone Games, LLC",Play for Free!,Vidan Design
2012,Nexon,Free to Play,The SKSE Team
2012,"Standing Stone Games, LLC",Play for Free!,Positech Games
2012,Hi-Rez Studios,Free to Play,Paradox Development Studio
2012,NEXON Korea Corp.,Free to Play,Oovee® Game Studios
2013,Artifice Studio,Free,Double Fine Productions
2013,Adam Foster,Free,Jon Sudbury Games
2013,Dragonfly,Free to Play,Funcom
2017,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",Free to Play,Igor Rashkuev
2016,Power of 2,Free,Rockstar Games
2016,"SmiteWorks USA, LLC",Free to Play,"Idea Factory,Compile Heart,Sting"
2013,Runewaker,Free to Play,"SmiteWorks USA, LLC"
2013,Poppermost Productions,Free to Play,Cybertime System
2013,Cryptic Studios,Free to Play,Artery Games
2013,Nival,Free To Play,11 bit studios
2014,Alan Edwardes,Free,XGen Studios
2014,Subsoap,Free to Play,Eipix Entertainment
2014,Frozen Yak Entertainment,Free,GlassCats
2014,Mad Otter Games,Free To Play,DICE
2012,Minor Key Games,Free,HeR Interactive
2014,Fistful of Frags Team,Free,"Grip Games,3Division"
2006,Nabi Studios,Free to Play,Pathea Games
2014,Peoleo Entertainment,Free to Play,Toxic Games
2014,Crytek,Free to Play,Spiderweb Software
2016,Subvert Games,Free to Play,Monster Games
2014,Tribe Studios,Free To Play,Ubisoft - San Francisco
2014,Free Lives,Free,Ape Law
2014,GamePrix,Free to Play,ACQUIRE Corp.
2014,The Men Who Wear Many Hats,Free,Ubisoft - San Francisco
2014,REMIMORY,Free,"GRASSHOPPER MANUFACTURE INC.,AGM PLAYISM"
2014,"Gravvit Ltd,Forbes  Consult Ltd",Free To Play,Cleverweek
2014,Ankama Studio,Free to Play,"Escape Hatch Entertainment,LLC"
2014,Nexon,Free to Play,Firehawk Studios
2014,Croteam,Free,Elder Games
2014,"David Hensley,Alex Quick",Free,XPAGAME
2014,Infinity Plus 2,Free to Play,Antab Studio
2014,VIS - Visual Imagination Software,Free,Ubisoft - San Francisco
2014,Neon Serpent LLC,Free to Play,SimProse Studios
2014,"Hassey Enterprises, Inc.",Free to Play,"Pilgrim Adventures,GrabTheGames Studios"
2014,Vortal Storm,Free,Sean Davy
2014,Benjamin Bryant,Free,Nussoft
2014,Shumkov Dmitriy,Free to Play,Nooskewl
1993,Trazzy Entertainment,Free to Play,Digital Furnace Games
2014,InvertMouse,Free,Domus ludus
2015,InvertMouse,Free,CCP
2015,Spark Plug Games,Free To Play,Frontwing
2015,MovingBlocks,Free to Play,M2H
2015,Shifty Chair Games,Free to Play,Dovetail Games
2015,"Flashback Games,The Lordz Games Studio",Free to Play,Ubisoft - San Francisco
2014,Spasman Games,Free to Play,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)"
2016,FeelThere,Free to Play,HypeTrain Digital
