index,user_id,Action,Adventure,Racing,Simulation,Sports,Strategy,playtime_forever,playtime_hours
72796,crustyoldkiller,0,0,0,1,0,0,777242.0,215.9
73273,de_triggered,1,0,0,0,0,1,748032.0,207.8
77347,jiumohoo,0,0,0,1,0,0,712434.0,197.9
46521,76561198089766169,0,0,0,1,0,1,642660.0,178.53
38649,76561198078738103,0,0,0,0,0,0,606932.0,168.6
61125,Greggs_place,1,1,0,0,0,0,587067.0,163.07999999999998
81405,pandaaus,1,0,1,0,1,0,559602.0,155.44
6515,76561198019112245,0,0,0,0,0,1,509775.0,141.60000000000002
5429,76561198011616111,0,0,0,1,0,2,504360.0,140.10000000000002
22385,76561198061404366,1,1,0,0,0,0,482958.0,134.16
